Date : 2024-11-30 04:24:15
Directory : d:\Flutterrrr\FlutterProjects\events_jo\lib
Total : 133 files,  10172 codes, 921 comments, 1163 blanks, all 12256 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        133 |     10,172 |        921 |      1,163 |     12,256 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                     | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                        |        133 |     10,172 |        921 |      1,163 |     12,256 |
| . (Files)                                                                                                                                |          1 |         13 |          3 |          5 |         21 |
| config                                                                                                                                   |         15 |        864 |         79 |        108 |      1,051 |
| config (Files)                                                                                                                           |          2 |        178 |         36 |         13 |        227 |
| config\algorithms                                                                                                                        |          2 |        121 |         22 |         26 |        169 |
| config\enums                                                                                                                             |          2 |         59 |          1 |         10 |         70 |
| config\enums\user type                                                                                                                   |          2 |         59 |          1 |         10 |         70 |
| config\utils                                                                                                                             |          9 |        506 |         20 |         59 |        585 |
| config\utils (Files)                                                                                                                     |          3 |        134 |         17 |         24 |        175 |
| config\utils\gradient                                                                                                                    |          3 |        282 |          3 |         26 |        311 |
| config\utils\loading                                                                                                                     |          3 |         90 |          0 |          9 |         99 |
| features                                                                                                                                 |        117 |      9,295 |        839 |      1,050 |     11,184 |
| features\admin                                                                                                                           |         27 |      2,066 |        206 |        259 |      2,531 |
| features\admin\data                                                                                                                      |          1 |         90 |         14 |         17 |        121 |
| features\admin\domain                                                                                                                    |          1 |         10 |          1 |          8 |         19 |
| features\admin\domain\repos                                                                                                              |          1 |         10 |          1 |          8 |         19 |
| features\admin\presentation                                                                                                              |         25 |      1,966 |        191 |        234 |      2,391 |
| features\admin\presentation\components                                                                                                   |         14 |      1,131 |        105 |         97 |      1,333 |
| features\admin\presentation\components (Files)                                                                                           |          6 |        336 |         70 |         22 |        428 |
| features\admin\presentation\components\approved venues                                                                                   |          2 |        218 |         16 |         30 |        264 |
| features\admin\presentation\components\dialogs                                                                                           |          4 |        308 |          2 |         15 |        325 |
| features\admin\presentation\components\unapproved venues                                                                                 |          2 |        269 |         17 |         30 |        316 |
| features\admin\presentation\cubits                                                                                                       |          4 |        248 |         49 |         57 |        354 |
