"filename", "language", "Todo", "Dart", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\algorithms\image_for_string.dart", "Dart", 0, 102, 16, 16, 134
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\app.dart", "Dart", 0, 8, 5, 5, 18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\event_type.dart", "Dart", 0, 5, 0, 1, 6
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\food_type.dart", "Dart", 0, 4, 0, 1, 5
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\jordan_city.dart", "Dart", 0, 44, 0, 2, 46
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\sort_direction.dart", "Dart", 0, 4, 0, 1, 5
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\text_field_input_type.dart", "Dart", 0, 5, 0, 1, 6
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\user type\user_type_enum.dart", "Dart", 0, -27, 0, -3, -30
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\user type\user_type_gate.dart", "Dart", 0, -32, -1, -7, -40
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\user_type_enum.dart", "Dart", 0, 27, 0, 3, 30
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\extensions\double_extensions.dart", "Dart", 0, 7, 0, 2, 9
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\extensions\string_extensions.dart", "Dart", 0, 35, 5, 9, 49
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\packages\from to picker\from_to_picker.dart", "Dart", 0, 655, 64, 46, 765
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\packages\from to picker\from_to_picker_colors.dart", "Dart", 0, 133, 13, 40, 186
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\packages\google navigation bar\alt_gbutton.dart", "Dart", 0, 203, 0, 13, 216
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\packages\google navigation bar\gbutton.dart", "Dart", 0, 111, 0, 5, 116
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\packages\google navigation bar\gnav.dart", "Dart", 0, 138, 0, 12, 150
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\packages\image slideshow\image_slideshow.dart", "Dart", 0, 150, 17, 28, 195
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\packages\image slideshow\indicator.dart", "Dart", 0, 36, 0, 4, 40
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\packages\lazy indexed stack\lazy_indexed_stack.dart", "Dart", 0, 58, 9, 14, 81
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\packages\string similarity\best_match.dart", "Dart", 0, 12, 4, 6, 22
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\packages\string similarity\rating.dart", "Dart", 0, 7, 3, 4, 14
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\packages\string similarity\string_similarity.dart", "Dart", 0, 65, 30, 12, 107
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\custom_icons_icons.dart", "Dart", 0, 26, 0, 0, 26
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\delay.dart", "Dart", 0, 14, 0, 4, 18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_colors.dart", "Dart", 0, 1, -9, -1, -9
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\global_snack_bar.dart", "Dart", 0, 16, 1, 0, 17
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\gradient\gradient_icon.dart", "Dart", 0, 70, 8, 12, 90
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\identical_objects.dart", "Dart", 0, 110, 7, 13, 130
"d:\Flutterrrr\FlutterProjects\events_jo\lib\eventsjo_todos.todo", "Todo", 79, 0, 0, 3, 82
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\data\firebase_admin_repo.dart", "Dart", 0, 20, 8, 3, 31
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_app_bar.dart", "Dart", 0, -3, 0, 0, -3
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_button.dart", "Dart", 0, 2, 0, 0, 2
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_card.dart", "Dart", 0, 1, 0, 0, 1
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_card_dashboard.dart", "Dart", 0, -80, 0, -4, -84
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_card_events.dart", "Dart", 0, -80, 0, -4, -84
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_dashboard_card.dart", "Dart", 0, 80, 0, 4, 84
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_event_list_loading_card.dart", "Dart", 0, 27, 0, 3, 30
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_events_card.dart", "Dart", 0, 11, 0, 0, 11
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_home_card.dart", "Dart", 0, 81, 0, 4, 85
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_loading_card.dart", "Dart", 0, 47, 0, 0, 47
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_loading_users_card.dart", "Dart", 0, 22, 0, 3, 25
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_sub_app_bar.dart", "Dart", 0, 3, 0, 0, 3
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_users_card.dart", "Dart", 0, 3, 0, 0, 3
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\approved venues\admin_approved_venue_summary.dart", "Dart", 0, 15, 1, 3, 19
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\menu_tab_bar.dart", "Dart", 0, 6, 0, 0, 6
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\no_requests_left.dart", "Dart", 0, -4, 0, -1, -5
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\unapproved venues\admin_unapproved_venue_summary.dart", "Dart", 0, 15, 1, 3, 19
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\users\admin_user_summary.dart", "Dart", 0, -7, -1, -2, -10
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\cubits\single venue\admin_single_venue_cubit.dart", "Dart", 0, -75, -2, -9, -86
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\cubits\venues\approve\admin_approve_cubit.dart", "Dart", 0, 3, 0, 4, 7
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\cubits\venues\unapprove\admin_unapprove_cubit.dart", "Dart", 0, -6, 0, 3, -3
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\admin_page_for_venues.dart", "Dart", 0, 9, -1, 5, 13
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\owners\admin_owner_details_page.dart", "Dart", 0, -14, -2, -2, -18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\owners\admin_owners_list_page.dart", "Dart", 0, 7, 0, 0, 7
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\users\admin_user_details_page.dart", "Dart", 0, -14, -2, -2, -18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\users\admin_users_list_page.dart", "Dart", 0, 7, 0, 0, 7
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\approved\admin_approved_venue_details.dart", "Dart", 0, -4, 0, 0, -4
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\approved\admin_approved_venues.dart", "Dart", 0, 3, 0, 0, 3
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\pages\venues\unapproved\admin_unapproved_venue_details.dart", "Dart", 0, 4, 6, 8, 18
