"filename", "language", "Dart", "Todo", "comment", "blank", "total"
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\algorithms\ratings_utils.dart", "Dart", 36, 0, 0, 4, 40
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\app.dart", "Dart", 48, 0, -3, -1, 44
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\event_type.dart", "Dart", 12, 0, 0, 1, 13
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\enums\order_status.dart", "Dart", 52, 0, 0, 5, 57
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\extensions\build_context_extenstions.dart", "Dart", 94, 0, 4, 6, 104
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\extensions\color_extensions.dart", "Dart", 34, 0, 5, 9, 48
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\extensions\datetime_range_extensions.dart", "Dart", 6, 0, 0, 2, 8
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\extensions\int_extensions.dart", "Dart", 15, 0, 0, 5, 20
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\extensions\string_extensions.dart", "Dart", 7, 0, 2, 3, 12
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\extensions\widget_extensions.dart", "Dart", 6, 0, 0, 2, 8
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\packages\from to picker\from_to_picker.dart", "Dart", 49, 0, 0, 5, 54
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\theme\eventsjo_theme.dart", "Dart", 144, 0, 3, 10, 157
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\theme\themes\app_icon_button_theme.dart", "Dart", 15, 0, 0, 2, 17
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\constants.dart", "Dart", 10, 0, 0, 6, 16
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\dummy.dart", "Dart", 62, 0, 1, 4, 67
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\endpoints.dart", "Dart", 8, 0, 3, 8, 19
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\expandable.dart", "Dart", 238, 0, 2, 24, 264
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading.dart", "Dart", 4, 0, 0, 0, 4
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\loading\global_loading_admin.dart", "Dart", 17, 0, 0, 1, 18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\transition_animation.dart", "Dart", 75, 0, 6, 17, 98
"d:\Flutterrrr\FlutterProjects\events_jo\lib\config\utils\unique.dart", "Dart", 8, 0, 3, 3, 14
"d:\Flutterrrr\FlutterProjects\events_jo\lib\eventsjo_todos.todo", "Todo", 0, 47, 0, 0, 47
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\data\firebase_admin_repo.dart", "Dart", 188, 0, 14, 34, 236
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\domain\repos\admin_repo.dart", "Dart", 22, 0, 0, 13, 35
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_button.dart", "Dart", -19, 0, -1, 0, -20
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_card.dart", "Dart", -19, 0, 0, 0, -19
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_confirmation_display_row.dart", "Dart", -11, 0, 0, 0, -11
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_dashboard_card.dart", "Dart", -27, 0, 0, 0, -27
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_divider.dart", "Dart", 1, 0, 0, 0, 1
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_event_list_loading_card.dart", "Dart", 2, 0, 0, 0, 2
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_events_card.dart", "Dart", -17, 0, -1, 0, -18
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_home_card.dart", "Dart", 9, 0, 0, 0, 9
"d:\Flutterrrr\FlutterProjects\events_jo\lib\features\admin\presentation\components\admin_loading_card.dart", "Dart", -3, 0, 0, 0, -3
